dayofyear,pr
1951-12-18,0.008310313
1951-12-19,0.031319644
1951-12-20,0.018732043
1951-12-21,0.1573908
1951-12-22,0.07902338
1951-12-23,0.531456
1951-12-24,0.11078685
1951-12-25,3.0280144
1951-12-26,1.0303034
1951-12-27,0.025660774
1951-12-28,0.014538395
1951-12-29,0.0017691466
1951-12-30,0.017013421
1951-12-31,0.029796274
1952-01-01,0.024776427
1952-01-02,0.0010431075
1952-01-03,0.0050759143
1952-01-04,0.013895982
1952-01-05,0.13442476
1952-01-06,0.009071304
1952-01-07,0.33180076
1952-01-08,6.821499
1952-01-09,1.3158898
1952-01-10,0.0065090684
1952-01-11,0.0075796642
1952-01-12,0.014584049
1952-01-13,4.8169565
1952-01-14,2.7530055
1952-01-15,0.035409916
1952-01-16,0.029090634
1952-01-17,0.015055182
1952-01-18,0.22908792
1952-01-19,0.05729926
1952-01-20,1.9710634
1952-01-21,0.0009308509
1952-01-22,0.0026718937
1952-01-23,0.0074422783
1952-01-24,0.07884435
1952-01-25,0.00026426197
1952-01-26,0.078207515
1952-01-27,0.39627177
1952-01-28,0.013304157
1952-01-29,0.15005654
1952-01-30,0.07807295
1952-01-31,0.00096384675
1952-02-01,0.0010420951
1952-02-02,0.0009669454
1952-02-03,0.021111783
1952-02-04,0.016812276
1952-02-05,0.5298734
1952-02-06,0.90785694
1952-02-07,0.018624263
1952-02-08,0.05581034
1952-02-09,8.320699
1952-02-10,0.01981932
1952-02-11,0.019850112
1952-02-12,0.00042203377
1952-02-13,0.035333928
1952-02-14,0.09517878
1952-02-15,0.35825154
1952-02-16,0.015070675
1952-02-17,0.03166505
1952-02-18,0.024700282
1952-02-19,0.020009052
1952-02-20,0.025606636
1952-02-21,0.17991926
1952-02-22,0.082860455
1952-02-23,0.074931085
1952-02-24,0.00094489055
1952-02-25,0.049012206
1952-02-26,1.6623317e-24
1952-02-27,1.5765611e-17
1952-02-28,0.23840113
1952-03-01,0.0020958285
1952-03-02,0.0065162336
1952-03-03,0.28856552
1952-03-04,1.6543953e-24
1952-03-05,0.0017336354
1952-03-06,0.25470844
1952-03-07,0.14439504
1952-03-08,0.0001294913
1952-03-09,9.981588e-18
1952-03-10,1.657919e-24
1952-03-11,3.1185374e-21
1952-03-12,0.045883965
1952-03-13,1.4116324
1952-03-14,2.4057245
1952-03-15,0.027359122
1952-03-16,0.48826975
1952-03-17,0.6520465
1952-03-18,0.04123103
1952-03-19,1.1323406
1952-03-20,1.8431624
1952-03-21,0.028645441
1952-03-22,0.022101462
1952-03-23,0.007548913
1952-03-24,0.02894995
1952-03-25,0.01728809
1952-03-26,0.01986037
1952-03-27,0.018647345
1952-03-28,0.021707328
1952-03-29,0.050676692
1952-03-30,0.069160216
1952-03-31,0.006988739
1952-04-01,0.06900497
1952-04-02,0.06274915
1952-04-03,0.0969342
1952-04-04,0.0040506166
1952-04-05,0.015403801
1952-04-06,0.014386309
1952-04-07,0.056971975
1952-04-08,0.035846308
1952-04-09,0.05894966
1952-04-10,0.03185231
1952-04-11,0.03486729
1952-04-12,0.03775847
1952-04-13,0.033132333
1952-04-14,0.045815717
1952-04-15,0.023977323
1952-04-16,0.039453547
1952-04-17,0.36650953
1952-04-18,10.748155
1952-04-19,0.34408763
1952-04-20,2.8230016
1952-04-21,0.043614514
1952-04-22,0.18421681
1952-04-23,0.015366944
1952-04-24,0.054695815
1952-04-25,0.0036183666
1952-04-26,0.040847365
1952-04-27,0.09379058
1952-04-28,0.026550177
1952-04-29,0.044536933
1952-04-30,0.05268759
1952-05-01,0.038932867
1952-05-02,0.10459793
1952-05-03,0.04675784
1952-05-04,0.37629208
1952-05-05,0.0025571345
1952-05-06,0.00040719475
1952-05-07,0.036768574
1952-05-08,0.16266526
1952-05-09,0.011031718
1952-05-10,0.0015469734
1952-05-11,1.5147388e-18
1952-05-12,0.010883624
1952-05-13,0.0032844848
1952-05-14,0.013207719
1952-05-15,0.047270864
1952-05-16,0.13479935
1952-05-17,0.075585105
1952-05-18,0.010270666
1952-05-19,0.010247521
1952-05-20,0.025904668
1952-05-21,0.024062587
