"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"84",84,62.10954935,27.63411142,4.567331708,862615.6123,5.94,0,0,1.92,0.26,2.75,3.01,1.62,30.18,0.507,3.48938734365636e-06,"Natural (less than 15 % Impervious)"
"85",85,62,30.45274774,0.488281567,287422.7561,5.94,0,0,2.01,0.03,3.22,3.24,0.58,16.31,0.546,1.12725938751793e-05,"Natural (less than 15 % Impervious)"
"86",86,62,32.79587617,0,259891.6286,5.94,0,0,2.02,0,3.26,3.26,0.53,15.29,0.549,1.25436899124499e-05,"Natural (less than 15 % Impervious)"
"87",87,62,32.53339197,0.354659927,220569.3952,5.94,0,0,2.02,0.02,3.22,3.24,0.45,12.56,0.546,1.46892545861231e-05,"Natural (less than 15 % Impervious)"
"88",88,58.86032285,12.4884884,45.34938012,245841.817,5.94,0,0,1.28,2.62,1.64,4.26,0.65,19.69,0.716,1.73282155655399e-05,"Very urbanized (More than 45 % Impervious)"
"89",89,58.82176935,12.26721668,54.37988009,929708.7833,5.94,0,0,1.07,3.1,1.35,4.45,2.58,79.13,0.748,4.78644504594733e-06,"Very urbanized (More than 45 % Impervious)"
"90",90,60.40234513,32.04143777,3.833246125,919388.5521,5.94,0,0,2.1,0.22,2.62,2.84,1.63,29.66,0.479,3.08900953085948e-06,"Natural (less than 15 % Impervious)"
"91",91,61.92057367,7.225773467,49.19776606,543493.0873,5.94,0,0,1.03,2.82,1.67,4.48,1.52,47.33,0.755,8.24297512642899e-06,"Very urbanized (More than 45 % Impervious)"
"92",92,61.12416364,32.32297981,0.359272275,364994.4568,5.94,0,0,2.11,0.02,3.05,3.07,0.7,17.69,0.516,8.411086642015e-06,"Natural (less than 15 % Impervious)"
"93",93,37.87740782,0.094002039,26.0080801,520654.21,5.94,0,0,3.08,1.45,0.53,1.98,0.64,16.59,0.333,3.80290788391013e-06,"Urbanized (Between 15 and 45 % Impervious)"
"94",94,57.41689744,36.32299579,0,3624922.752,13.21,0,0,3.03,0,7.2,7.2,16.28,226.24,0.545,1.98624922311172e-06,"Natural (less than 15 % Impervious)"
"95",95,61.07100846,25.74114412,34.04731109,322086.5192,5.94,0,0,1.4,1.97,2.02,3.99,0.8,20.95,0.672,1.23879757833714e-05,"Urbanized (Between 15 and 45 % Impervious)"
"96",96,60.25322483,31.66308143,9.212696318,628696.5923,5.94,0,0,2,0.53,2.61,3.14,1.23,27.19,0.529,4.99446002802837e-06,"Natural (less than 15 % Impervious)"
"97",97,59.01045859,12.80407377,47.90957767,218448.3655,5.94,0,0,1.21,2.77,1.58,4.35,0.59,18.31,0.732,1.9913172570751e-05,"Very urbanized (More than 45 % Impervious)"
