subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 60,0_perc,10,0.92
Subcatchment 60,0_perc,10.15,1.11
Subcatchment 60,0_perc,10.3,0.19
Subcatchment 60,0_perc,10.45,0.08
Subcatchment 60,0_perc,11,1.94
Subcatchment 60,20_perc,0.15,0
Subcatchment 60,20_perc,0.3,0
Subcatchment 60,20_perc,0.45,0
Subcatchment 60,20_perc,1,0
Subcatchment 60,20_perc,1.15,0
Subcatchment 60,20_perc,1.3,0
Subcatchment 60,20_perc,1.45,0
Subcatchment 60,20_perc,2,0
Subcatchment 60,20_perc,2.15,0
Subcatchment 60,20_perc,2.3,0
Subcatchment 60,20_perc,2.45,0
Subcatchment 60,20_perc,3,0
Subcatchment 60,20_perc,3.15,0
Subcatchment 60,20_perc,3.3,0
Subcatchment 60,20_perc,3.45,0
Subcatchment 60,20_perc,4,0
Subcatchment 60,20_perc,4.15,0
Subcatchment 60,20_perc,4.3,0
Subcatchment 60,20_perc,4.45,0
Subcatchment 60,20_perc,5,0
Subcatchment 60,20_perc,5.15,1.95
Subcatchment 60,20_perc,5.3,2.65
Subcatchment 60,20_perc,5.45,4.14
Subcatchment 60,20_perc,6,3.35
Subcatchment 60,20_perc,6.15,1.06
Subcatchment 60,20_perc,6.3,0.97
Subcatchment 60,20_perc,6.45,0.1
Subcatchment 60,20_perc,7,0.92
Subcatchment 60,20_perc,7.15,0.17
Subcatchment 60,20_perc,7.3,0.08
Subcatchment 60,20_perc,7.45,0.05
Subcatchment 60,20_perc,8,0.03
Subcatchment 60,20_perc,8.15,0.02
Subcatchment 60,20_perc,8.3,0.02
Subcatchment 60,20_perc,8.45,0.01
Subcatchment 60,20_perc,9,0.76
Subcatchment 60,20_perc,9.15,0.87
Subcatchment 60,20_perc,9.3,0.08
Subcatchment 60,20_perc,9.45,0.01
Subcatchment 60,20_perc,10,0.81
Subcatchment 60,20_perc,10.15,1
Subcatchment 60,20_perc,10.3,0.19
Subcatchment 60,20_perc,10.45,0.09
Subcatchment 60,20_perc,11,1.71
Subcatchment 60,30_perc,0.15,0
Subcatchment 60,30_perc,0.3,0
Subcatchment 60,30_perc,0.45,0
Subcatchment 60,30_perc,1,0
Subcatchment 60,30_perc,1.15,0
Subcatchment 60,30_perc,1.3,0
Subcatchment 60,30_perc,1.45,0
Subcatchment 60,30_perc,2,0
Subcatchment 60,30_perc,2.15,0
Subcatchment 60,30_perc,2.3,0
Subcatchment 60,30_perc,2.45,0
Subcatchment 60,30_perc,3,0
Subcatchment 60,30_perc,3.15,0
Subcatchment 60,30_perc,3.3,0
Subcatchment 60,30_perc,3.45,0
Subcatchment 60,30_perc,4,0
Subcatchment 60,30_perc,4.15,0
Subcatchment 60,30_perc,4.3,0
Subcatchment 60,30_perc,4.45,0
Subcatchment 60,30_perc,5,0
Subcatchment 60,30_perc,5.15,1.77
Subcatchment 60,30_perc,5.3,2.39
Subcatchment 60,30_perc,5.45,3.75
Subcatchment 60,30_perc,6,3.11
Subcatchment 60,30_perc,6.15,1.01
Subcatchment 60,30_perc,6.3,0.92
Subcatchment 60,30_perc,6.45,0.09
Subcatchment 60,30_perc,7,0.87
Subcatchment 60,30_perc,7.15,0.17
Subcatchment 60,30_perc,7.3,0.08
Subcatchment 60,30_perc,7.45,0.05
Subcatchment 60,30_perc,8,0.03
Subcatchment 60,30_perc,8.15,0.02
Subcatchment 60,30_perc,8.3,0.02
Subcatchment 60,30_perc,8.45,0.01
Subcatchment 60,30_perc,9,0.71
Subcatchment 60,30_perc,9.15,0.81
Subcatchment 60,30_perc,9.3,0.07
Subcatchment 60,30_perc,9.45,0.01
Subcatchment 60,30_perc,10,0.75
Subcatchment 60,30_perc,10.15,0.95
Subcatchment 60,30_perc,10.3,0.19
Subcatchment 60,30_perc,10.45,0.09
Subcatchment 60,30_perc,11,1.59
Subcatchment 60,50_perc,0.15,0
Subcatchment 60,50_perc,0.3,0
Subcatchment 60,50_perc,0.45,0
Subcatchment 60,50_perc,1,0
Subcatchment 60,50_perc,1.15,0
Subcatchment 60,50_perc,1.3,0
Subcatchment 60,50_perc,1.45,0
Subcatchment 60,50_perc,2,0
Subcatchment 60,50_perc,2.15,0
Subcatchment 60,50_perc,2.3,0
Subcatchment 60,50_perc,2.45,0
Subcatchment 60,50_perc,3,0
